,CNRM-CERFACS-CNRM-CM5_ALADIN63_r1i1p1,CNRM-CERFACS-CNRM-CM5_CCLM4-8-17_r1i1p1,CNRM-CERFACS-CNRM-CM5_COSMO-crCLIM-v1-1_r1i1p1,CNRM-CERFACS-CNRM-CM5_HadREM3-GA7-05_r1i1p1,CNRM-CERFACS-CNRM-CM5_HIRHAM5_r1i1p1,CNRM-CERFACS-CNRM-CM5_RACMO22E_r1i1p1,CNRM-CERFACS-CNRM-CM5_RCA4_r1i1p1,CNRM-CERFACS-CNRM-CM5_RegCM4-6_r1i1p1,CNRM-CERFACS-CNRM-CM5_REMO2015_r1i1p1,CNRM-CERFACS-CNRM-CM5_WRF381P_r1i1p1,ICHEC-EC-EARTH_CCLM4-8-17_r12i1p1,ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r12i1p1,ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r1i1p1,ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r3i1p1,ICHEC-EC-EARTH_HadREM3-GA7-05_r12i1p1,ICHEC-EC-EARTH_HIRHAM5_r12i1p1,ICHEC-EC-EARTH_HIRHAM5_r1i1p1,ICHEC-EC-EARTH_HIRHAM5_r3i1p1,ICHEC-EC-EARTH_RACMO22E_r12i1p1,ICHEC-EC-EARTH_RACMO22E_r1i1p1,ICHEC-EC-EARTH_RACMO22E_r3i1p1,ICHEC-EC-EARTH_RCA4_r12i1p1,ICHEC-EC-EARTH_RCA4_r1i1p1,ICHEC-EC-EARTH_RCA4_r3i1p1,ICHEC-EC-EARTH_RegCM4-6_r12i1p1,ICHEC-EC-EARTH_REMO2015_r12i1p1,ICHEC-EC-EARTH_WRF381P_r12i1p1,IPSL-IPSL-CM5A-MR_HIRHAM5_r1i1p1,IPSL-IPSL-CM5A-MR_RACMO22E_r1i1p1,IPSL-IPSL-CM5A-MR_RCA4_r1i1p1,IPSL-IPSL-CM5A-MR_REMO2015_r1i1p1,IPSL-IPSL-CM5A-MR_WRF381P_r1i1p1,MOHC-HadGEM2-ES_ALADIN63_r1i1p1,MOHC-HadGEM2-ES_CCLM4-8-17_r1i1p1,MOHC-HadGEM2-ES_COSMO-crCLIM-v1-1_r1i1p1,MOHC-HadGEM2-ES_HadREM3-GA7-05_r1i1p1,MOHC-HadGEM2-ES_HIRHAM5_r1i1p1,MOHC-HadGEM2-ES_RACMO22E_r1i1p1,MOHC-HadGEM2-ES_RCA4_r1i1p1,MOHC-HadGEM2-ES_RegCM4-6_r1i1p1,MOHC-HadGEM2-ES_REMO2015_r1i1p1,MOHC-HadGEM2-ES_WRF381P_r1i1p1,MPI-M-MPI-ESM-LR_ALADIN63_r1i1p1,MPI-M-MPI-ESM-LR_CCLM4-8-17_r1i1p1,MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r1i1p1,MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r2i1p1,MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r3i1p1,MPI-M-MPI-ESM-LR_HadREM3-GA7-05_r1i1p1,MPI-M-MPI-ESM-LR_HIRHAM5_r1i1p1,MPI-M-MPI-ESM-LR_RACMO22E_r1i1p1,MPI-M-MPI-ESM-LR_RCA4_r1i1p1,MPI-M-MPI-ESM-LR_RCA4_r2i1p1,MPI-M-MPI-ESM-LR_RCA4_r3i1p1,MPI-M-MPI-ESM-LR_RegCM4-6_r1i1p1,MPI-M-MPI-ESM-LR_REMO2015_r3i1p1,NCC-NorESM1-M_ALADIN63_r1i1p1,NCC-NorESM1-M_COSMO-crCLIM-v1-1_r1i1p1,NCC-NorESM1-M_HadREM3-GA7-05_r1i1p1,NCC-NorESM1-M_HIRHAM5_r1i1p1,NCC-NorESM1-M_RACMO22E_r1i1p1,NCC-NorESM1-M_RCA4_r1i1p1,NCC-NorESM1-M_RegCM4-6_r1i1p1,NCC-NorESM1-M_REMO2015_r1i1p1,NCC-NorESM1-M_WRF381P_r1i1p1
ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r1i1p1,NA,0.08952381,0.039047619,NA,0.019047619,0.03047619,0.00952381,NA,0.08,NA,0.088571429,0.00952381,0,0.03,NA,0.029047619,0.00047619,0.01952381,0.019047619,0.019047619,0.05,0.058571429,NA,0.058571429,NA,0.068571429,NA,0.00047619,0.058095238,0.038571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048095238,0.009047619,0.00047619,0.059047619,NA,0.028095238,0.095714286,0.087142857,0.039047619,0.057619048,NA,NA,NA,0.00952381,NA,0.01952381,0.00952381,0.01,NA,0.02952381,0.039047619
ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r3i1p1,NA,0.05952381,0.069047619,NA,0.049047619,0.00047619,0.03952381,NA,0.05,NA,0.058571429,0.03952381,0.03,0,0.085714286,0.059047619,0.03047619,0.04952381,0.049047619,0.010952381,0.02,0.028571429,0.077142857,0.028571429,NA,0.038571429,0.087142857,0.02952381,0.028095238,0.008571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018095238,0.020952381,0.03047619,0.029047619,NA,0.001904762,0.065714286,0.057142857,0.009047619,0.027619048,NA,NA,NA,0.03952381,NA,0.04952381,0.03952381,0.02,0.098095238,0.00047619,0.009047619
ICHEC-EC-EARTH_HadREM3-GA7-05_r12i1p1,0.081428571,0.026190476,NA,NA,NA,0.085238095,NA,NA,0.035714286,NA,0.027142857,NA,NA,0.085714286,0,NA,NA,NA,NA,0.096666667,0.065714286,0.057142857,0.008571429,0.057142857,NA,0.047142857,0.001428571,NA,0.057619048,0.077142857,0.070952381,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,0.067619048,NA,NA,0.056666667,NA,0.087619048,0.02,0.028571429,0.076666667,0.058095238,NA,NA,NA,NA,0.049047619,NA,NA,NA,0.012380952,0.086190476,0.076666667
ICHEC-EC-EARTH_HIRHAM5_r12i1p1,NA,NA,0.01,NA,0.01,0.05952381,0.01952381,NA,NA,NA,NA,0.01952381,0.029047619,0.059047619,NA,0,0.028571429,0.00952381,0.01,0.048095238,0.079047619,0.087619048,NA,0.087619048,NA,0.097619048,NA,0.02952381,0.087142857,0.067619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077142857,0.038095238,0.028571429,0.088095238,NA,0.057142857,NA,NA,0.068095238,0.086666667,NA,NA,NA,0.01952381,NA,0.00952381,0.01952381,0.039047619,NA,0.058571429,0.068095238
ICHEC-EC-EARTH_HIRHAM5_r1i1p1,NA,0.09,0.038571429,NA,0.018571429,0.030952381,0.009047619,NA,0.08047619,NA,0.089047619,0.009047619,0.00047619,0.03047619,NA,0.028571429,0,0.019047619,0.018571429,0.01952381,0.05047619,0.059047619,NA,0.059047619,NA,0.069047619,NA,0.000952381,0.058571429,0.039047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048571429,0.00952381,0,0.05952381,NA,0.028571429,0.096190476,0.087619048,0.03952381,0.058095238,NA,NA,NA,0.009047619,NA,0.019047619,0.009047619,0.01047619,NA,0.03,0.03952381
ICHEC-EC-EARTH_HIRHAM5_r3i1p1,NA,NA,0.01952381,NA,0.00047619,0.05,0.01,NA,0.09952381,NA,NA,0.01,0.01952381,0.04952381,NA,0.00952381,0.019047619,0,0.00047619,0.038571429,0.06952381,0.078095238,NA,0.078095238,NA,0.088095238,NA,0.02,0.077619048,0.058095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067619048,0.028571429,0.019047619,0.078571429,NA,0.047619048,NA,NA,0.058571429,0.077142857,NA,NA,NA,0.01,NA,0,0.01,0.02952381,NA,0.049047619,0.058571429
ICHEC-EC-EARTH_RACMO22E_r12i1p1,NA,NA,0.02,NA,0,0.04952381,0.00952381,NA,0.099047619,NA,NA,0.00952381,0.019047619,0.049047619,NA,0.01,0.018571429,0.00047619,0,0.038095238,0.069047619,0.077619048,NA,0.077619048,NA,0.087619048,NA,0.01952381,0.077142857,0.057619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067142857,0.028095238,0.018571429,0.078095238,NA,0.047142857,NA,NA,0.058095238,0.076666667,NA,NA,NA,0.00952381,NA,0.00047619,0.00952381,0.029047619,NA,0.048571429,0.058095238
ICHEC-EC-EARTH_RACMO22E_r1i1p1,NA,0.07047619,0.058095238,NA,0.038095238,0.011428571,0.028571429,NA,0.060952381,NA,0.06952381,0.028571429,0.019047619,0.010952381,0.096666667,0.048095238,0.01952381,0.038571429,0.038095238,0,0.030952381,0.03952381,0.088095238,0.03952381,NA,0.04952381,0.098095238,0.018571429,0.039047619,0.01952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029047619,0.01,0.01952381,0.04,NA,0.009047619,0.076666667,0.068095238,0.02,0.038571429,NA,NA,NA,0.028571429,NA,0.038571429,0.028571429,0.009047619,NA,0.01047619,0.02
ICHEC-EC-EARTH_RACMO22E_r3i1p1,NA,0.03952381,0.089047619,NA,0.069047619,0.01952381,0.05952381,NA,0.03,NA,0.038571429,0.05952381,0.05,0.02,0.065714286,0.079047619,0.05047619,0.06952381,0.069047619,0.030952381,0,0.008571429,0.057142857,0.008571429,NA,0.018571429,0.067142857,0.04952381,0.008095238,0.011428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001904762,0.040952381,0.05047619,0.009047619,NA,0.021904762,0.045714286,0.037142857,0.010952381,0.007619048,NA,NA,NA,0.05952381,NA,0.06952381,0.05952381,0.04,0.078095238,0.02047619,0.010952381
ICHEC-EC-EARTH_RCA4_r12i1p1,NA,0.030952381,0.097619048,NA,0.077619048,0.028095238,0.068095238,NA,0.021428571,NA,0.03,0.068095238,0.058571429,0.028571429,0.057142857,0.087619048,0.059047619,0.078095238,0.077619048,0.03952381,0.008571429,0,0.048571429,0,NA,0.01,0.058571429,0.058095238,0.00047619,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01047619,0.04952381,0.059047619,0.00047619,NA,0.03047619,0.037142857,0.028571429,0.01952381,0.000952381,NA,NA,NA,0.068095238,NA,0.078095238,0.068095238,0.048571429,0.06952381,0.029047619,0.01952381
ICHEC-EC-EARTH_RCA4_r1i1p1,0.09,0.017619048,NA,NA,NA,0.076666667,NA,NA,0.027142857,NA,0.018571429,NA,NA,0.077142857,0.008571429,NA,NA,NA,NA,0.088095238,0.057142857,0.048571429,0,0.048571429,NA,0.038571429,0.01,NA,0.049047619,0.068571429,0.07952381,NA,NA,NA,NA,NA,0.068571429,NA,NA,NA,NA,NA,NA,0.059047619,0.098095238,NA,0.048095238,NA,0.079047619,0.011428571,0.02,0.068095238,0.04952381,NA,NA,NA,NA,0.057619048,NA,NA,0.097142857,0.020952381,0.077619048,0.068095238
ICHEC-EC-EARTH_RCA4_r3i1p1,NA,0.030952381,0.097619048,NA,0.077619048,0.028095238,0.068095238,NA,0.021428571,NA,0.03,0.068095238,0.058571429,0.028571429,0.057142857,0.087619048,0.059047619,0.078095238,0.077619048,0.03952381,0.008571429,0,0.048571429,0,NA,0.01,0.058571429,0.058095238,0.00047619,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01047619,0.04952381,0.059047619,0.00047619,NA,0.03047619,0.037142857,0.028571429,0.01952381,0.000952381,NA,NA,NA,0.068095238,NA,0.078095238,0.068095238,0.048571429,0.06952381,0.029047619,0.01952381
ICHEC-EC-EARTH_RegCM4-6_r12i1p1,0.02952381,NA,NA,NA,NA,NA,NA,0.078095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,0.050952381,0.067142857,NA,NA,NA,0.038571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04952381,NA,NA,0.061904762,NA,NA,NA,0.098571429,NA,NA
ICHEC-EC-EARTH_REMO2015_r12i1p1,NA,0.020952381,NA,NA,0.087619048,0.038095238,0.078095238,NA,0.011428571,NA,0.02,0.078095238,0.068571429,0.038571429,0.047142857,0.097619048,0.069047619,0.088095238,0.087619048,0.04952381,0.018571429,0.01,0.038571429,0.01,NA,0,0.048571429,0.068095238,0.01047619,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02047619,0.05952381,0.069047619,0.00952381,NA,0.04047619,0.027142857,0.018571429,0.02952381,0.010952381,NA,NA,NA,0.078095238,0.096190476,0.088095238,0.078095238,0.058571429,0.05952381,0.039047619,0.02952381
ICHEC-EC-EARTH_WRF381P_r12i1p1,0.08,0.027619048,NA,NA,NA,0.086666667,NA,NA,0.037142857,NA,0.028571429,NA,NA,0.087142857,0.001428571,NA,NA,NA,NA,0.098095238,0.067142857,0.058571429,0.01,0.058571429,NA,0.048571429,0,NA,0.059047619,0.078571429,0.06952381,NA,NA,NA,NA,NA,0.058571429,NA,NA,NA,NA,NA,NA,0.069047619,NA,NA,0.058095238,NA,0.089047619,0.021428571,0.03,0.078095238,0.05952381,NA,NA,NA,NA,0.047619048,NA,NA,NA,0.010952381,0.087619048,0.078095238
IPSL-IPSL-CM5A-MR_HIRHAM5_r1i1p1,NA,0.089047619,0.03952381,NA,0.01952381,0.03,0.01,NA,0.07952381,NA,0.088095238,0.01,0.00047619,0.02952381,NA,0.02952381,0.000952381,0.02,0.01952381,0.018571429,0.04952381,0.058095238,NA,0.058095238,NA,0.068095238,NA,0,0.057619048,0.038095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047619048,0.008571429,0.000952381,0.058571429,NA,0.027619048,0.095238095,0.086666667,0.038571429,0.057142857,NA,NA,NA,0.01,NA,0.02,0.01,0.00952381,NA,0.029047619,0.038571429
IPSL-IPSL-CM5A-MR_RACMO22E_r1i1p1,NA,0.031428571,0.097142857,NA,0.077142857,0.027619048,0.067619048,NA,0.021904762,NA,0.03047619,0.067619048,0.058095238,0.028095238,0.057619048,0.087142857,0.058571429,0.077619048,0.077142857,0.039047619,0.008095238,0.00047619,0.049047619,0.00047619,NA,0.01047619,0.059047619,0.057619048,0,0.01952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.049047619,0.058571429,0.000952381,NA,0.03,0.037619048,0.029047619,0.019047619,0.00047619,NA,NA,NA,0.067619048,NA,0.077619048,0.067619048,0.048095238,0.07,0.028571429,0.019047619
IPSL-IPSL-CM5A-MR_RCA4_r1i1p1,NA,0.050952381,0.077619048,NA,0.057619048,0.008095238,0.048095238,NA,0.041428571,NA,0.05,0.048095238,0.038571429,0.008571429,0.077142857,0.067619048,0.039047619,0.058095238,0.057619048,0.01952381,0.011428571,0.02,0.068571429,0.02,NA,0.03,0.078571429,0.038095238,0.01952381,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952381,0.02952381,0.039047619,0.02047619,NA,0.01047619,0.057142857,0.048571429,0.00047619,0.019047619,NA,NA,NA,0.048095238,NA,0.058095238,0.048095238,0.028571429,0.08952381,0.009047619,0.00047619
IPSL-IPSL-CM5A-MR_REMO2015_r1i1p1,0.01047619,0.097142857,NA,NA,NA,NA,NA,NA,NA,NA,0.098095238,NA,NA,NA,0.070952381,NA,NA,NA,NA,NA,NA,NA,0.07952381,NA,0.04,NA,0.06952381,NA,NA,NA,0,NA,NA,NA,NA,NA,0.010952381,NA,NA,NA,NA,0.078571429,NA,NA,NA,NA,NA,NA,NA,0.090952381,0.09952381,NA,NA,NA,0.08952381,NA,NA,0.021904762,NA,NA,NA,0.058571429,NA,NA
IPSL-IPSL-CM5A-MR_WRF381P_r1i1p1,NA,NA,NA,0.031428571,NA,NA,NA,NA,NA,0.067619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.098095238,0.087142857,0.00952381,NA,NA,NA,NA,0.01,0.011428571,NA,0.049047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
